bin,KAJA-FM_count,KASE-FM_count,KBEQ-FM_count,KCYY-FM_count,KFKF-FM_count,KILT-FM_count,KKBQ-FM_count,KKGO-FMC_count,KPLX-FM_count,KSCS-FM_count,KVET-FM_count,WCOL-FM_count,WDAF-FM_count,WFMS-FM_count,WFUS-FM_count,WKDF-FM_count,WKKT-FM_count,WLHK-FM_count,WMZQ-FM_count,WNNF-FM_count,WPAW-FM_count,WQYK-FM_count,WSM-FM_count,WSOC-FM_count,WTQR-FM_count,WUBE-FM_count,WUSN-FM_count,WXTU-FM_count,WYGY-FM_count
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,1,0,1,0,10,0,0,27,0,0,0,0,0,0,0,47,0,0,0,0
25,2,1,0,0,0,0,0,0,0,5,0,42,0,71,4,0,122,1,0,0,0,0,0,0,159,0,0,0,0
30,8,0,0,0,0,4,0,0,0,50,0,146,0,248,43,0,289,6,4,0,0,1,0,8,308,0,0,0,0
35,37,2,0,0,18,3,0,0,0,158,0,281,0,316,158,0,296,35,31,0,0,2,0,34,294,0,0,0,0
40,135,11,0,0,69,35,1,0,0,245,0,295,0,245,257,0,183,106,92,1,2,4,0,106,144,3,0,0,0
45,233,40,1,0,164,106,9,0,0,266,0,158,0,90,257,4,60,232,203,13,2,36,0,224,39,3,0,0,0
50,261,146,4,0,243,202,29,0,0,184,0,63,0,14,179,29,20,259,265,47,21,108,0,261,8,15,0,0,0
55,188,212,14,0,236,235,92,0,2,65,0,12,0,5,78,69,2,184,225,108,81,216,0,226,1,56,0,0,2
60,82,240,80,7,161,216,195,0,11,21,0,1,0,1,19,144,0,133,122,195,134,250,0,94,0,124,0,1,3
65,39,188,124,15,76,125,226,0,32,5,1,1,0,0,5,236,0,35,44,243,232,179,0,31,0,198,1,4,17
70,11,99,192,50,26,55,194,1,101,0,8,0,0,0,0,209,0,9,12,202,220,119,0,14,0,239,10,29,52
75,3,39,223,112,3,12,137,1,145,0,16,0,7,0,0,156,0,0,2,113,142,55,0,2,0,178,28,51,133
80,1,15,161,196,2,4,65,12,219,0,49,0,23,0,0,98,0,0,0,47,98,20,0,0,0,119,65,105,161
85,0,7,118,169,2,3,38,27,197,0,116,0,61,0,0,40,0,0,0,24,51,9,0,0,0,44,127,171,204
90,0,0,56,169,0,0,9,52,134,0,164,0,107,0,0,15,0,0,0,7,11,0,0,0,0,12,187,190,172
95,0,0,18,119,0,0,3,103,87,0,178,0,154,0,0,0,0,0,0,0,3,1,0,0,0,6,178,168,135
100,0,0,6,94,0,0,2,155,41,0,158,0,186,0,0,0,0,0,0,0,2,0,0,0,0,3,154,131,82
105,0,0,3,40,0,0,0,159,18,0,142,0,159,0,0,0,0,0,0,0,1,0,0,0,0,0,128,86,23
110,0,0,0,19,0,0,0,187,8,0,82,0,154,0,0,0,0,0,0,0,0,0,1,0,0,0,63,45,10
115,0,0,0,6,0,0,0,129,5,0,54,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,5
120,0,0,0,3,0,0,0,95,0,0,20,0,35,0,0,0,0,0,0,0,0,0,2,0,0,0,16,4,1
125,0,0,0,1,0,0,0,38,0,0,9,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0
130,0,0,0,0,0,0,0,32,0,0,2,0,7,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,0
135,0,0,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0
140,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
145,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0